trialId,trialNo,blockNo,cutNo,expCond,control,keyCode,reactionTime,segSize,segCenterX,segCenterY,segCentDist,intDiff,intStd,segNcut,segStab,leaf,correct,meanImgInt,meanSegInt,deltaInt,expTime,expType,participantID
119,23,4,5,2,0,0,0.3685605070435646,0.2564102564102564,0.11764705882352941,0.23529411764705882,0.7453559924999296,0.5683690280065895,0.0,,,1,1,0.5743243243243272,0.6,0.4316309719934106,0.6,3,my
120,24,4,5,1,1,1,0.2106955015075263,0.20512820512820512,0.8823529411764706,0.11764705882352941,0.7844645405527358,0.6194398682042831,0.19776529298921813,,,1,1,0.7702702702702743,0.7200000000000008,0.380560131795717,0.3,3,my
121,25,4,2,1,1,1,0.0002107663272051393,0.3076923076923077,0.11764705882352941,0.23529411764705882,0.7453559924999296,0.17745351847493562,0.5386185014552419,,,1,1,0.7297297297297322,0.17142857142860066,0.8225464815250645,0.3,3,my
122,26,4,2,2,1,1,0.25410789046172955,0.358974358974359,0.17647058823529413,0.23529411764705882,0.6666666666666673,0.39332784184513986,0.5499999999999999,,,1,1,0.5743243243243272,0.3875,0.6066721581548603,0.6,3,my
123,27,4,2,2,0,0,0.8566190207030019,0.5128205128205128,0.47058823529411764,0.7058823529411765,0.3811812499312439,0.08896210873146673,0.0,,,1,1,0.513513513513514,0.0,0.9110378912685334,0.6,3,my
124,28,4,5,2,0,1,0.42604976001379624,0.5384615384615384,0.5294117647058824,0.6470588235294118,0.27735009811261474,0.2553542009884683,0.0,,,1,0,0.506756756756757,0.2,0.7446457990115318,0.6,3,my
125,29,4,2,1,1,1,0.08190495807255567,0.3333333333333333,0.7647058823529411,0.058823529411764705,0.7453559924999296,0.8599670510708398,0.15856499343441874,,,1,1,0.5945945945945982,0.9600000000000004,0.14003294892916032,0.3,3,my
126,30,4,5,2,1,1,0.0002966467624786602,0.38461538461538464,0.11764705882352941,0.17647058823529413,0.7952852522702986,0.3790095939529026,0.6919707576276357,,,1,1,0.317567567567567,0.29411764705880045,0.6209904060470975,0.6,3,my
127,31,4,2,2,0,1,0.4116167145909144,0.358974358974359,0.23529411764705882,0.11764705882352941,0.7220578379655767,0.5766062602965402,0.0,,,1,0,0.5405405405405421,0.6,0.42339373970346,0.6,3,my
128,32,4,2,1,1,1,0.31120400948722265,0.4358974358974359,0.4117647058823529,0.17647058823529413,0.4978586625371179,0.6360010404924983,0.4704110433520902,,,1,1,0.43918918918919325,0.6421052631578675,0.3639989595075018,0.3,3,my
